ALPHABET,COMMON NAME,SCIENTIFIC NAME,PLACE,CONTINENT,CONSERVATION STATUS, LEVEL OF RISKS
A,African Elephant,Loxodonta africana,Congo Basin,African,Vulnerable,3
A,African Wild Dog,Lycaon pictus,Coastal East Africa,African,Endangered,4
A,Albacore Tuna,Thunnus alalunga,The Galapagos,South American,Near Threatened,2
A,Amur Leopard,Panthera pardus orientalis,Amazon,South American,Critically Endangered,5
A,Amur Tiger,Panthera tigris altaica,Amur-Heilong,Eurasian,Endangered,4
A,Arctic Fox,Vulpes lagopus,Amur-Heilong,Eurasian,Least Concern,1
A,Arctic Wolf,Canis lupus arctos,Polar Regions,Antarctica,Least Concern,1
A,Asian Elephant,Elephas maximus indicus,Greater Mekong,Asian,Endangered,4
B,Beluga,Delphinapterus leucas,Arctic,Eurasian,Near Threatened,2
B,Bengal Tiger,Panthera tigris tigris,India,Asian,Endangered,4
B,Bigeye Tuna,Thunnus obesus,The Galapagos,South American,Vulnerable,3
B,Black Rhino,Diceros bicornis,East Africa,African,Critically Endangered,5
B,Black Spider Monkey,Ateles paniscus,Amazon,South American,Vulnerable,3
B,Black-footed Ferret,Mustela nigripes,Northern Great Plains,North American,Endangered,4
B,Blue Whale,Balaenoptera musculus,Southern Chile,South American,Endangered,4
B,Bluefin Tuna,Thunnus Thynnus,Coral Triangle,Asian,Endangered,4
B,Bonobo,Pan paniscus,Congo Basin,African,Endangered,4
B,Bornean Orangutan,Pongo pygmaeus,Borneo and Sumatra,Asian,Critically Endangered,5
B,Borneo Pygmy Elephant,Elephas maximus borneensis,Borneo and Sumatra,Asian,Endangered,4
B,Bowhead Whale,Balaena mysticetus,Arctic,Eurasian,Least Concern,1
B,Brown Bear,Ursus arctos,Arctic,Eurasian,Least Concern,1
C,Chimpanzee,Pan troglodytes,Congo Basin,African,Endangered,4
C,Common Bottlenose Dolphin,Tursiops truncates,Coastal South America,South American,Least Concern,1
C,Cross River Gorilla,Gorilla gorilla diehli,Congo Basin,African,Critically Endangered,5
D,Dugong,Dugong dugon,Coastal East Africa,African,Vulnerable,3
E,Eastern Lowland Gorilla,Gorilla beringei graueri,Congo Basin,African,Critically Endangered,5
F,Fin Whale,Balaenoptera physalus,Arctic,Eurasian,Endangered,4
F,Forest Elephant,L. Cyclotis,The Galapagos,South American,Vulnerable,3
G,Galapagos Penguin,Spheniscus mendiculus,Congo Basin,African,Endangered,4
G,Ganges River Dolphin,Platanista gangetica gangetica,Eastern Himalayas,Asian,Endangered,4
G,Giant Panda,Ailuropoda melanoleuca,Yangtze,Asian,Vulnerable,3
G,Giant Tortoise,Chelonoidis nigra,The Galapagos,South American,Vulnerable,3
G,Gray Whale,Eschrichtius robustus,Arctic,Eurasian,Least Concern,1
G,Great White Shark,Carcharodon carcharias,Southern Chile,South American,Vulnerable,3
G,Greater One-Horned Rhino,Rhinoceros unicornis,Eastern Himalayas,Asian,Vulnerable,3
G,Greater Sage-Grouse,Centrocercus urophasianus,Northern Great Plains,North American,Near Threatened,2
G,Green Turtle,Chelonia mydas,The Galapagos,South American,Endangered,4
H,Hawksbill Turtle,Eretmochelys imbricata,Coastal East Africa,African,Critically Endangered,5
H,Hector's Dolphin,Cephalorhynchus hectori,New Zealand,Australian,Endangered,4
H,Hippopotamus,Hippopotamus amphibius,Africa,African,Vulnerable,3
H,Humphead Wrasse,Cheilinus undulatus,Coastal East Africa,African,Endangered,4
I,Indian Elephant,Elephas maximus indicus,India,Asian,Endangered,4
I,Indochinese Tiger,Panthera tigris corbetti,Greater Mekong,Asian,Endangered,4
I,Indus River Dolphin,Platanista minor,Pakistan,Asian,Endangered,4
I,Irrawaddy Dolphin,Orcaella brevirostris,Greater Mekong,Asian,Endangered,4
J,Jaguar,Panthera onca,Amazon,South American,Near Threatened,2
